,Waktu,dapur,kamar,kamar2,ruangtamu,teras,toilet
523,900,1,1,1,1,1,1
524,960,1,1,1,1,1,1
525,991,1,1,2,1,1,1
526,992,1,1,2,2,1,1
527,1020,1,1,2,2,1,1
528,1035,2,1,2,2,1,1
529,1036,2,1,2,2,1,2
530,1065,2,2,2,2,1,2
531,1065,2,2,2,2,2,2
532,1080,2,2,2,2,2,2
533,1140,2,2,2,2,2,2
534,1200,2,2,2,2,2,2
535,1260,2,2,2,2,2,2
536,1320,2,2,2,2,2,2
537,1325,2,2,1,2,2,2
538,1325,2,2,1,1,2,2
539,1325,1,2,1,1,2,2
540,1380,1,2,1,1,2,2
541,0,1,2,1,1,2,2
542,60,1,2,1,1,2,2
543,120,1,2,1,1,2,2
544,180,1,2,1,1,2,2
545,240,1,2,1,1,2,2
546,300,1,2,1,1,2,2
547,301,1,2,2,1,2,2
548,301,2,2,2,1,2,2
549,360,2,2,2,1,1,2
550,420,2,2,2,1,1,2
551,452,2,1,2,1,1,2
552,454,1,1,2,1,1,2
553,480,1,1,2,1,1,2
554,481,1,1,1,1,1,2
555,481,1,1,1,1,1,1
556,540,1,1,1,1,1,1
557,600,1,1,1,1,1,1
558,660,1,1,1,1,1,1
559,720,1,1,1,1,1,1
560,744,2,1,1,1,1,1
561,780,2,1,1,1,1,1
562,810,1,1,1,1,1,1
563,840,1,1,1,1,1,1
564,900,1,1,1,1,1,1
565,960,1,1,1,1,1,1
566,993,1,1,2,1,1,1
567,995,1,1,2,2,1,1
568,1020,1,1,2,2,1,1
569,1025,2,1,2,2,1,1
570,1026,2,1,2,2,1,2
571,1063,2,2,2,2,1,2
572,1064,2,2,2,2,2,2
573,1080,2,2,2,2,2,2
574,1140,2,2,2,2,2,2
575,1200,2,2,2,2,2,2
576,1260,2,2,2,2,2,2
577,1320,2,2,1,2,2,2
578,1322,2,2,1,1,2,2
579,1323,1,2,1,1,2,2
580,1380,1,2,1,1,2,2
581,0,1,2,1,1,2,2
582,60,1,2,1,1,2,2
583,120,1,2,1,1,2,2
584,180,1,2,1,1,2,2
585,240,1,2,1,1,2,2
586,300,1,2,2,1,2,2
587,301,2,2,2,1,2,2
588,360,2,2,2,1,1,2
589,420,2,2,2,1,1,2
590,451,2,1,2,1,1,2
591,453,1,1,2,1,1,2
592,482,1,1,1,1,1,2
593,485,1,1,1,1,1,1
594,540,1,1,1,1,1,1
595,600,1,1,1,1,1,1
596,660,1,1,1,1,1,1
597,720,1,1,1,1,1,1
598,745,2,1,1,1,1,1
599,780,2,1,1,1,1,1
600,806,1,1,1,1,1,1
601,840,1,1,1,1,1,1
602,900,1,1,1,1,1,1
603,960,1,1,1,1,1,1
604,990,1,1,2,1,1,1
605,991,1,1,2,2,1,1
606,1020,1,1,1,2,1,1
607,1022,2,1,2,2,1,1
608,1023,2,1,2,2,1,2
609,1062,2,2,2,2,1,2
610,1063,2,2,2,2,2,2
611,1080,2,2,2,2,2,2
612,1140,2,2,2,2,2,2
613,1200,2,2,2,2,2,2
614,1260,2,2,2,2,2,2
615,1320,2,2,2,2,2,2
616,1321,2,2,1,2,2,2
617,1321,1,2,1,2,2,2
618,1321,1,2,1,1,2,2
619,1380,1,2,1,1,2,2
620,0,1,2,1,1,2,2
621,60,1,2,1,1,2,2
622,120,1,2,1,1,2,2
623,180,1,2,1,1,2,2
624,240,1,2,1,1,2,2
625,300,1,2,1,1,2,2
626,301,1,2,2,1,2,2
627,302,2,2,2,1,2,2
628,361,2,2,2,1,1,2
629,420,2,2,2,1,1,2
630,451,2,1,2,1,1,2
631,452,1,1,2,1,1,2
632,480,1,1,2,1,1,2
633,481,1,1,1,1,1,2
634,482,1,1,1,1,1,1
635,540,1,1,1,1,1,1
636,600,1,1,1,1,1,1
637,660,1,1,1,1,1,1
638,720,1,1,1,1,1,1
639,737,2,1,1,1,1,1
640,780,2,1,1,1,1,1
641,812,1,1,1,1,1,1
642,840,1,1,1,1,1,1
643,900,1,1,1,1,1,1
644,932,1,1,2,1,1,1
645,936,1,1,2,1,1,1
646,991,1,1,2,1,1,1
647,993,1,1,2,2,1,1
648,1021,2,1,2,2,1,1
649,1022,2,1,2,2,1,2
650,1065,2,2,2,2,1,2
651,1066,2,2,2,2,2,2
652,1080,2,2,2,2,1,2
653,1140,2,2,2,2,2,2
654,1200,2,2,2,2,2,2
655,1260,2,2,2,2,2,2
656,1320,1,2,2,2,2,2
657,1322,1,2,1,2,2,2
658,1323,1,2,1,1,2,2
659,1380,1,2,1,1,2,2
660,0,1,2,1,1,2,2
661,60,1,2,1,1,2,2
662,120,1,2,1,1,2,2
663,180,1,2,1,1,2,2
664,240,1,2,1,1,2,2
665,300,1,2,2,1,2,2
666,301,2,2,2,1,2,2
